window_id,start,end,n_intervals,mean_dT_c,mean_amb_c,n_nans,reject_reason
0,2023-12-14 04:30:00,2023-12-14 04:30:00,1,30.27,17.0,0,too_short (1 < 2)
1,2023-12-14 23:00:00,2023-12-14 23:30:00,2,25.32,17.2,0,
2,2023-12-15 00:30:00,2023-12-15 00:30:00,1,24.54,17.5,0,too_short (1 < 2)
3,2023-12-15 02:30:00,2023-12-15 03:30:00,3,28.03,17.78,0,
4,2023-12-15 04:30:00,2023-12-15 05:00:00,2,27.66,17.73,0,
5,2023-12-16 00:30:00,2023-12-16 01:00:00,2,21.5,22.12,0,
6,2023-12-16 02:00:00,2023-12-16 02:30:00,2,21.06,22.2,0,
7,2023-12-16 04:30:00,2023-12-16 04:30:00,1,20.3,22.4,0,too_short (1 < 2)
8,2023-12-17 00:00:00,2023-12-17 00:00:00,1,21.51,21.1,0,too_short (1 < 2)
9,2023-12-17 02:00:00,2023-12-17 04:00:00,5,24.64,21.46,0,
10,2023-12-17 05:00:00,2023-12-17 05:30:00,2,23.95,21.6,0,
11,2023-12-17 23:30:00,2023-12-18 00:00:00,2,21.74,21.88,0,
12,2023-12-18 01:30:00,2023-12-18 02:00:00,2,21.43,21.57,0,
13,2023-12-18 03:30:00,2023-12-18 03:30:00,1,21.78,20.75,0,too_short (1 < 2)
14,2023-12-20 03:30:00,2023-12-20 04:30:00,3,31.95,14.83,0,
15,2023-12-20 21:00:00,2023-12-20 21:00:00,1,22.57,19.9,0,too_short (1 < 2)
16,2023-12-20 23:30:00,2023-12-21 00:00:00,2,26.03,19.9,0,
17,2023-12-21 01:00:00,2023-12-21 01:30:00,2,26.0,19.45,0,
18,2023-12-21 02:30:00,2023-12-21 05:00:00,6,25.3,19.47,0,
19,2023-12-22 00:30:00,2023-12-22 01:00:00,2,28.56,14.82,0,
20,2023-12-22 03:30:00,2023-12-22 04:00:00,2,32.47,14.75,0,
21,2023-12-24 00:30:00,2023-12-24 01:00:00,2,23.85,21.62,0,
22,2023-12-24 02:00:00,2023-12-24 03:00:00,3,24.71,20.3,0,
23,2023-12-24 04:00:00,2023-12-24 04:30:00,2,24.63,19.9,0,
24,2023-12-24 05:30:00,2023-12-24 05:30:00,1,24.47,19.7,0,too_short (1 < 2)
25,2023-12-24 22:00:00,2023-12-24 22:30:00,2,27.17,15.15,0,
26,2023-12-28 00:30:00,2023-12-28 01:00:00,2,28.71,16.5,0,
27,2023-12-29 00:00:00,2023-12-29 03:30:00,8,31.02,14.67,0,
28,2024-01-02 23:00:00,2024-01-03 02:00:00,7,26.61,16.37,0,
29,2024-01-03 04:30:00,2024-01-03 05:00:00,2,29.94,15.85,0,
30,2024-01-13 00:30:00,2024-01-13 00:30:00,1,27.94,17.1,0,too_short (1 < 2)
31,2024-01-20 03:30:00,2024-01-20 04:00:00,2,31.37,15.3,0,
32,2024-01-21 01:00:00,2024-01-21 03:00:00,5,29.51,16.88,0,
33,2024-01-22 01:30:00,2024-01-22 02:00:00,2,27.24,18.48,0,
34,2024-01-22 03:00:00,2024-01-22 04:00:00,3,28.3,16.9,0,
35,2024-01-23 00:00:00,2024-01-23 01:30:00,4,32.22,15.81,0,
36,2024-01-23 23:30:00,2024-01-24 00:30:00,3,24.64,18.38,0,
37,2024-01-24 02:30:00,2024-01-24 02:30:00,1,28.96,18.1,0,too_short (1 < 2)
38,2024-01-24 03:30:00,2024-01-24 05:00:00,4,28.62,18.0,0,
39,2024-02-01 22:30:00,2024-02-01 22:30:00,1,24.1,20.85,0,too_short (1 < 2)
40,2024-02-01 23:30:00,2024-02-02 01:00:00,4,23.58,20.86,0,
41,2024-02-04 00:30:00,2024-02-04 01:00:00,2,30.07,17.2,0,
42,2024-02-04 02:00:00,2024-02-04 05:30:00,8,29.26,17.23,0,
43,2024-02-04 22:30:00,2024-02-04 22:30:00,1,28.72,15.55,0,too_short (1 < 2)
44,2024-02-05 03:30:00,2024-02-05 03:30:00,1,32.24,14.2,0,too_short (1 < 2)
45,2024-02-14 12:30:00,2024-02-14 13:00:00,2,28.7,16.5,0,
46,2024-02-14 22:30:00,2024-02-15 03:00:00,10,29.3,15.77,0,
47,2024-02-15 23:00:00,2024-02-15 23:30:00,2,26.06,18.5,0,
48,2024-02-16 03:30:00,2024-02-16 04:00:00,2,26.17,17.27,0,
49,2024-02-17 22:30:00,2024-02-17 23:00:00,2,25.76,19.98,0,
50,2024-02-18 00:00:00,2024-02-18 02:00:00,5,25.24,19.92,0,
51,2024-02-18 22:30:00,2024-02-19 01:30:00,7,35.02,18.69,0,
52,2024-02-19 23:00:00,2024-02-19 23:00:00,1,25.83,19.1,0,too_short (1 < 2)
53,2024-02-20 03:00:00,2024-02-20 03:30:00,2,24.02,19.95,0,
54,2024-02-27 22:30:00,2024-02-27 23:00:00,2,29.79,15.8,0,
55,2024-02-28 22:30:00,2024-02-29 00:30:00,5,24.16,19.11,0,
56,2024-03-04 13:00:00,2024-03-04 13:30:00,2,40.73,18.52,0,
57,2024-03-04 23:30:00,2024-03-05 04:30:00,11,28.01,15.85,0,
58,2024-03-06 00:30:00,2024-03-06 02:30:00,5,28.11,16.31,0,
59,2024-03-07 23:00:00,2024-03-08 00:00:00,3,27.07,14.4,0,
60,2024-03-12 00:00:00,2024-03-12 03:00:00,7,26.8,15.51,0,
61,2024-03-13 01:00:00,2024-03-13 03:00:00,5,29.21,19.27,0,
62,2024-03-13 04:00:00,2024-03-13 05:00:00,3,26.76,21.05,0,
63,2024-03-13 23:30:00,2024-03-14 02:00:00,6,28.75,17.68,0,
64,2024-03-14 03:00:00,2024-03-14 03:00:00,1,28.58,17.3,0,too_short (1 < 2)
65,2024-03-15 01:00:00,2024-03-15 01:30:00,2,32.51,15.95,0,
66,2024-03-15 02:30:00,2024-03-15 05:00:00,6,32.15,15.65,0,
67,2024-03-16 22:30:00,2024-03-17 02:30:00,9,27.88,16.14,0,
68,2024-03-17 22:30:00,2024-03-18 00:30:00,5,31.47,18.52,0,
69,2024-03-18 01:30:00,2024-03-18 02:30:00,3,30.82,18.62,0,
70,2024-03-18 14:00:00,2024-03-18 14:30:00,2,33.45,23.23,0,
71,2024-03-19 00:30:00,2024-03-19 00:30:00,1,22.71,20.5,0,too_short (1 < 2)
72,2024-03-19 03:00:00,2024-03-19 03:00:00,1,25.87,21.1,0,too_short (1 < 2)
73,2024-03-19 04:00:00,2024-03-19 05:00:00,3,25.14,21.35,0,
74,2024-03-19 10:30:00,2024-03-19 10:30:00,1,28.28,20.4,0,too_short (1 < 2)
75,2024-03-19 12:00:00,2024-03-19 13:00:00,3,26.06,19.8,0,
76,2024-03-19 14:00:00,2024-03-19 14:00:00,1,24.55,19.9,0,too_short (1 < 2)
77,2024-03-19 15:00:00,2024-03-19 15:30:00,2,24.43,19.62,0,
78,2024-03-19 23:30:00,2024-03-20 03:30:00,9,30.02,14.88,0,
79,2024-03-20 04:30:00,2024-03-20 04:30:00,1,29.23,15.05,0,too_short (1 < 2)
80,2024-03-20 11:30:00,2024-03-20 11:30:00,1,36.45,16.95,0,too_short (1 < 2)
81,2024-03-20 23:00:00,2024-03-20 23:00:00,1,26.85,15.9,0,too_short (1 < 2)
82,2024-03-21 02:00:00,2024-03-21 03:00:00,3,28.63,17.6,0,
83,2024-03-21 04:00:00,2024-03-21 05:00:00,3,28.08,17.6,0,
84,2024-03-22 01:00:00,2024-03-22 02:30:00,4,28.82,16.62,0,
85,2024-03-23 23:00:00,2024-03-23 23:00:00,1,26.73,15.5,0,too_short (1 < 2)
86,2024-03-24 02:00:00,2024-03-24 02:30:00,2,29.78,15.3,0,
87,2024-03-24 03:30:00,2024-03-24 04:00:00,2,29.41,15.22,0,
88,2024-03-24 13:00:00,2024-03-24 13:00:00,1,33.78,18.0,0,too_short (1 < 2)
89,2024-03-28 23:00:00,2024-03-29 02:00:00,7,27.95,15.52,0,
90,2024-03-31 21:30:00,2024-03-31 21:30:00,1,28.11,16.3,0,too_short (1 < 2)
91,2024-04-01 22:30:00,2024-04-02 02:30:00,9,26.88,16.28,0,
92,2024-04-03 02:30:00,2024-04-03 03:30:00,3,29.23,15.4,0,
93,2024-04-05 23:30:00,2024-04-06 03:00:00,8,28.18,16.11,0,
94,2024-04-06 04:00:00,2024-04-06 04:30:00,2,25.19,18.27,0,
95,2024-04-07 00:30:00,2024-04-07 00:30:00,1,24.38,19.95,0,too_short (1 < 2)
96,2024-04-07 01:30:00,2024-04-07 04:00:00,6,24.51,19.24,0,
97,2024-04-07 21:30:00,2024-04-07 21:30:00,1,28.29,18.4,0,too_short (1 < 2)
98,2024-04-07 22:30:00,2024-04-08 02:30:00,9,27.93,17.99,0,
99,2024-04-08 22:30:00,2024-04-09 02:30:00,9,29.52,17.64,0,
100,2024-04-09 03:30:00,2024-04-09 04:30:00,3,29.87,16.35,0,
101,2024-04-09 22:00:00,2024-04-09 22:30:00,2,27.79,15.7,0,
